Date,Steps,Active_time(min),Distance_KM,Total_Calories_burned,Sleep_after_midnight,Sleep_Hours,Pain_Score (0-10),Class_Hours,Study_Hours,Morning_Walk (1/0),Heavy_Chores (1/0),total_screen_time
2026-03-01,4850,48,3.45,1378,0,6.0,1,0,6,1,1,6
2026-03-02,882,9,0.61,1308,1,7.3,6,5,3,0,1,8
2026-03-03,69,0,0.04,1295,1,6.0,5,2,4,0,1,6
2026-03-04,4181,40,2.85,1366,1,4.5,6,5,2,1,0,7
2026-03-05,4332,41,2.87,1365,0,6.2,2,2,5,1,1,7
2026-03-06,3516,31,2.44,1353,1,6.4,0,2,4,1,0,6
2026-03-07,5201,55,4.1,1413,1,5.5,5,0,3,1,1,6
2026-03-08,5514,56,4.0,1409,1,5.3,4,0,4,1,1,6
2026-03-09,4711,46,3.4,1399,0,6.2,6,2,6,1,1,6
2026-03-10,4011,38,2.7,1388,1,5.3,7,5,4,1,1,6
2026-03-11,4211,41,2.8,1392,1,5.0,5,2,3,1,1,7
2026-03-12,4101,39,2.7,1386,0,7.3,2,2,5,1,1,6
2026-03-13,4412,42,2.9,1397,1,5.4,5,2,6,1,1,5
2026-03-14,3912,37,2.6,1381,1,6.0,7,0,5,1,1,6
2026-03-15,4812,49,3.5,1402,1,6.3,8,0,4,1,1,7
2026-03-16,4202,40,2.8,1389,0,6.5,5,5,2,1,1,7
2026-03-17,4001,38,2.7,1386,1,5.5,6,2,5,1,1,7
2026-03-18,4602,44,3.2,1403,1,6.0,3,2,4,1,1,6
2026-03-19,3911,36,2.6,1383,0,7.0,5,2,5,1,1,5
2026-03-20,4112,39,2.7,1388,1,5.3,5,2,3,1,0,8
2026-03-21,4311,42,2.9,1391,1,6.0,7,0,4,1,1,6
2026-03-22,4812,49,3.5,1405,1,5.3,3,0,3,1,1,6
2026-03-23,4101,38,2.7,1389,0,6.4,1,5,2,1,1,7
2026-03-24,3902,36,2.6,1384,1,6.0,0,2,4,1,1,6
2026-03-25,4412,43,2.9,1396,1,5.4,2,2,3,1,1,7
2026-03-26,4612,45,3.2,1401,0,7.0,1,2,5,1,1,5
2026-03-27,3811,35,2.5,1380,1,6.0,2,2,4,1,0,6
2026-03-28,4512,44,3.1,1399,1,5.5,5,0,5,1,1,6
2026-03-29,4912,50,3.6,1409,1,5.3,4,0,3,1,1,7
2026-03-30,4102,39,2.7,1388,0,6.3,1,5,2,1,1,7
2026-03-31,3911,36,2.6,1383,1,6.1,1,2,5,1,1,6
2026-04-01,4312,41,2.8,1392,1,5.4,0,2,4,1,1,6
2026-04-02,4712,46,3.3,1404,0,7.0,6,2,5,1,1,5
2026-04-03,3801,35,2.5,1379,1,6.0,2,2,4,1,1,6
2026-04-04,4612,45,3.2,1401,1,5.3,5,0,6,1,1,7
2026-04-05,5112,53,3.7,1413,1,5.5,2,0,3,1,1,6
2026-04-06,4201,40,2.8,1390,0,6.4,0,5,3,1,1,7
2026-04-07,3912,37,2.6,1384,1,6.0,1,2,4,1,1,6
2026-04-08,4411,42,2.9,1395,1,5.4,0,2,3,1,1,7
2026-04-09,4812,49,3.5,1408,0,7.1,1,2,5,1,1,5
2026-04-10,3901,36,2.6,1382,1,6.0,6,2,4,1,0,7
